COMMUNE;nomcom;CODE_REG;dist;long;lat;superficie;LIBEPCI;libuu2020;DEP;REG;emp;actifs;PTOT
44001;Abbaretz;52;36,30908423;-1,493272972;47,55603837;62,04525278;CC de Nozay;Commune hors unité urbaine du département 44;Loire-Atlantique;Pays de la Loire;300,9459949;990,9735568;2107
44002;Aigrefeuille-sur-Maine;52;20,39959887;-1,415564335;47,07192542;14,63272696;CA Clisson Sèvre et Maine Agglo;Aigrefeuille-sur-Maine;Loire-Atlantique;Pays de la Loire;1510,458098;1917,785163;4152
44003;Ancenis-Saint-Géréon;52;31,71904232;-1,189151998;47,3801611;28,0629166;CC du Pays d'Ancenis;Ancenis-Saint-Géréon;Loire-Atlantique;Pays de la Loire;12683,55334;4314,703233;11435
44005;Chaumes-en-Retz;52;29,73321663;-1,922684864;47,1493166;77,32689792;CA Pornic Agglo Pays de Retz;Chaumes-en-Retz;Loire-Atlantique;Pays de la Loire;1854,516006;3219,079333;7001
44006;Assérac;52;69,06300592;-2,412725682;47,43797714;33,87450591;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Commune hors unité urbaine du département 44;Loire-Atlantique;Pays de la Loire;207,2714793;770,832;1889
44007;Avessac;52;54,99567385;-1,970508713;47,63543619;76,31127109;CA Redon Agglomération;Commune hors unité urbaine du département 44;Loire-Atlantique;Pays de la Loire;374,6455866;986,6046789;2513
44009;Basse-Goulaine;52;6,825487961;-1,462805193;47,21174735;14,17011891;Nantes Métropole;Nantes;Loire-Atlantique;Pays de la Loire;3258,044288;3994,609116;9377
44010;Batz-sur-Mer;52;70,1338534;-2,474374584;47,28444845;13,0609916;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);Saint-Nazaire;Loire-Atlantique;Pays de la Loire;595,6356977;1054,9946;2896
44012;La Bernerie-en-Retz;52;40,02997175;-2,032267921;47,0856641;5,985634222;CA Pornic Agglo Pays de Retz;Pornic;Loire-Atlantique;Pays de la Loire;530,1859894;798,9973331;3093
44013;Besné;52;42,94245767;-2,074099576;47,380063;17,77435966;CA de la Région Nazairienne et de l'Estuaire (CARENE);Commune hors unité urbaine du département 44;Loire-Atlantique;Pays de la Loire;570,0279448;1606,948292;3224
